name,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,lat,long,place_name
AQW00061705,82.5,82.7,82.8,82.4,81.7,80.9,80.3,80.3,81,81.4,82,82.3,-14.3306,-170.7136,AS PAGO PAGO WSO AP
CAW00064757,18.9,21.4,29.6,43.1,54.7,63.3,68.1,66.1,58.9,47.5,36.6,25.3,44.2325,-79.7811,ON EGBERT 1 W
CQC00914080,77.3,76.3,76.4,78.5,79.9,80.2,79.6,79.6,79.4,79.3,79.1,77.8,15.2136,145.7497,MP CAPITOL HILL 1
CQC00914801,78.8,78.2,79,80.1,81.1,81.7,81.1,80.8,80.8,80.8,80.6,80,14.1717,145.2428,MP ROTA AP
FMC00914395,80,80.3,80.3,80.5,80.6,80.6,80.5,80.7,80.6,80.7,80.4,80,5.3544,162.9533,FM KOSRAE
FMC00914419,81.7,81.7,81.8,81.8,81.9,81.9,81.8,81.8,82,81.9,82.2,81.9,5.5167,153.8167,FM LUKUNOCH
FMC00914446,81.5,81.4,81.8,82.9,83.2,82.5,81.4,81,81.4,81.8,82.3,82,9.6053,138.1786,FM MAAP
FMC00914482,79.1,79.1,79.4,79.5,79.5,79.3,78.9,79.6,79.2,79.3,79.2,79.1,6.8456,158.3064,FM METALANIM
FMC00914720,81.6,82.2,82,81.9,82.2,82.1,81.7,81.8,81.9,81.9,81.6,81.9,6.2167,160.7,FM PINGELAP
FMC00914761,81.5,81.5,81.9,81.7,81.8,81.6,81.5,81.3,81.5,81.8,82,81.7,7.35,149.2,FM POLOWAT
FMC00914831,80.1,80,80.8,81.4,81.8,81.1,80.8,80.7,80.7,81.1,81.2,80.6,9.55,138.15,FM TAMIL
FMC00914892,82.2,82,82.5,83.3,83.5,83,82.5,82.5,82.9,83.4,83.5,82.8,10.0333,139.8,FM ULITHI
FMC00914898,81.1,81.6,81.5,81.2,81.6,81.3,81.4,81.4,81.5,81.7,81.7,81.3,5.2739,162.9742,FM UTWA
FMC00914911,81.5,81.1,81.1,81.7,81.6,81.2,81.2,81.1,81.2,81.5,81.6,81.6,7.3833,143.9167,FM WOLEAI ATOLL
FMW00040308,82.2,82.2,82.6,83.4,83.7,83,82.5,82.4,82.6,82.8,82.9,82.6,9.4833,138.0833,FM YAP ISLAND WSO AP
FMW00040504,80.7,80.9,81.1,81.1,81.2,81,80.8,81,80.8,80.8,80.9,80.7,6.9667,158.2167,FM POHNPEI WSO
FMW00040505,81.2,81.3,81.6,81.8,82.1,81.8,81.5,81.3,81.5,81.5,81.8,81.6,7.45,151.8333,FM CHUUK WSO AP
GQC00914025,79.3,79.1,79.7,80.9,81.9,82.1,81.2,81,81.2,81.3,81,80.2,13.5761,144.9281,GU ANDERSEN AFB GUAM
GQW00041415,80.2,79.9,80.7,81.9,82.6,82.6,81.9,81.4,81.4,81.7,81.8,81.2,13.4836,144.7961,GU GUAM INTL AP
JQW00021603,78.3,78.4,78.6,79.5,80.7,82.2,83,83.6,83.4,82.5,80.6,79.1,16.7333,-169.5167,UM JOHNSTON ISLAND
PSC00914519,79,79.1,79.4,80.4,80.6,80.1,79.8,80,80.2,79.9,80.1,79.8,7.45,134.5,PW NEKKEN FORESTRY
PSC00914712,79.1,78.9,79.4,80.2,80.2,79.2,79.2,79.6,80,80.1,80.3,79.5,7.0333,134.2667,PW PELELIU
PSW00040309,81.4,81.3,81.7,82.3,82.4,81.6,81.3,81.5,81.7,82,82.4,81.9,7.3333,134.4833,PW KOROR WSO
RMW00040604,81.7,81.9,82.3,82.5,82.8,82.5,82.3,82.5,82.6,82.5,82.3,82,8.7333,167.7333,MH KWAJALEIN
RMW00040710,81.7,81.9,82.1,82.1,82.3,82.1,82.1,82.3,82.4,82.4,82.2,81.8,7.0833,171.3833,MH MAJURO WBAS AP
RQC00660061,66.6,66.5,67.4,69.2,71.2,72.9,73.1,73.1,72.8,71.9,70.6,68.1,18.1747,-66.7978,PR ADJUNTAS SUBSTN
RQC00660152,76.5,76.5,76.8,78.3,80.2,81.4,81.7,82.1,81.4,80.6,79.4,77.4,17.9556,-66.2222,PR AGUIRRE
RQC00660158,67.5,67.2,68.4,70.2,72.3,73.6,74.1,74.5,74,73.2,70.5,68.9,18.1281,-66.2642,PR AIBONITO 1 S
RQC00660410,75.1,73.6,75.2,77.1,78.9,80.1,80.7,80.8,81,80,77.6,76,18.4533,-66.6747,PR ARECIBO 3 ESE
RQC00660426,72.3,72.1,73.1,74.4,76.2,77.7,78,78.1,77.9,77,75.3,73.2,18.3494,-66.7525,PR ARECIBO OBSY
RQC00661901,69.6,69.5,70.3,72.2,74.4,76.4,76.6,76.5,75.9,75.1,73.1,70.4,18.1189,-66.1658,PR CAYEY 1 E
RQC00662336,60.8,60.7,61.5,62.5,63.9,66.2,67,66.9,66.5,66.2,64,61.8,18.1547,-66.562,PR CERRO MARAVILLA
RQC00662801,74.8,74.6,75.6,77.1,79.1,80.1,80.4,80.7,80.4,79.3,78.2,75.7,18.3808,-67.1569,PR COLOSO
RQC00662934,73.3,73.1,74.3,75.8,77.8,79.5,79.5,79.9,79.3,78.4,76.4,74.1,18.3267,-66.3592,PR COROZAL SUBSTN
RQC00663409,72.1,72.7,74.1,76.9,78.8,80.1,79.5,80.2,79.9,77.9,77.9,75.4,18.4722,-66.3058,PR DORADO 2 WNW
RQC00663431,73.7,73.5,74.2,75.8,77.7,79.6,80,80.2,79.6,78.8,76.9,74.7,18.3361,-66.6667,PR DOS BOCAS
RQC00663657,76.6,76.7,77.4,79,80.7,82.1,82.4,82.3,81.7,81.1,79.7,77.9,18.3103,-65.6631,PR FAJARDO
RQC00664193,78.2,78.3,78.6,80.1,81.5,82.5,83,83.5,82.7,82.1,80.9,79.5,17.9783,-66.0875,PR GUAYAMA 2E
RQC00664276,73.7,73.7,74.9,76.9,79,80.5,80.5,80.8,80.4,79.6,77.6,75.1,18.2583,-65.9922,PR GURABO SUBSTN
RQC00664702,73.9,74.2,74.9,76.2,77.8,79.1,79.4,80,79.6,79,77.3,75.4,18.4653,-67.0525,PR ISABELA SUBSTN
RQC00665064,74.2,74.2,75.2,77.1,79.2,80.5,80.8,80.9,80.7,79.8,77.6,75.2,18.2264,-65.9114,PR JUNCOS 1 SE
RQC00665097,74.6,74.4,75.5,77.3,79.5,80.8,81.1,81.1,80.7,79.7,78,75.3,18.0331,-67.0722,PR LAJAS SUBSTN
RQC00665693,77.8,77.7,78.3,80.1,81.8,83.2,83.5,83.2,83.2,82.5,80.5,78.9,17.9722,-67.0461,PR MAGUEYES ISLAND
RQC00665807,74.4,74.3,75.2,76.5,78.5,80.3,80.5,80.8,80.4,79.5,77.5,75.4,18.4308,-66.4661,PR MANATI 2 E
RQC00665908,69.1,68.5,69.9,70.1,71.8,73.6,73.4,73.9,73.6,72.9,71.6,69.5,18.1511,-66.9889,PR MARICAO 2 SSW
RQC00666073,75.6,75.8,76.5,77.9,79.4,80.6,81,81,81,80.8,79.2,77.1,18.1875,-67.1378,PR MAYAGUEZ CITY
RQC00666258,77,76.6,77.4,79.1,80.7,82.4,82.5,82.9,82.2,81.3,79.9,77.9,18.0908,-67.9442,PR MONA ISLAND 2
